label	isPartOf	subPropertyOf	equivalentProperty	subproperties	domainIncludes	rangeIncludes	inverseOf	supersedes	supersededBy	comment
renegotiableLoan	pending:				LoanOrCredit	Boolean				Whether the terms for payment of interest can be renegotiated during the life of the loan.
repeatCount	pending:				Schedule	Integer				"Defines the number of times a recurring <a class=""localLink"" href=""/Event"">Event</a> will take place."
repeatFrequency	pending:	frequency			Schedule	Duration, Text				"Defines the frequency at which <a class=""localLink"" href=""/Event"">Event</a>s will occur according to a schedule <a class=""localLink"" href=""/Schedule"">Schedule</a>. The intervals between
      events should be defined as a <a class=""localLink"" href=""/Duration"">Duration</a> of time."
repetitions					ExercisePlan	Number, QuantitativeValue				Number of times one should repeat the activity.
replacee		object			ReplaceAction	Thing				A sub property of object. The object that is being replaced.
replacer		object			ReplaceAction	Thing				A sub property of object. The object that replaces.
replyToUrl					UserComments	URL				The URL at which a reply may be posted to the specified UserComment.
reportNumber					Report	Text				The number or other unique designator assigned to a Report by the publishing organization.
representativeOfPage					ImageObject	Boolean				Indicates whether this image is representative of the content of the page.
requiredCollateral					LoanOrCredit	Text, Thing				Assets required to secure loan or credit repayments. It may take form of third party pledge, goods, financial instruments (cash, securities, etc.)
requiredGender					PeopleAudience	Text				Audiences defined by a person's gender.
requiredMaxAge					PeopleAudience	Integer				Audiences defined by a person's maximum age.
requiredMinAge					PeopleAudience	Integer				Audiences defined by a person's minimum age.
requiredQuantity					HowToItem	Number, QuantitativeValue, Text				The required quantity of the item(s).
requirements					SoftwareApplication	Text, URL			softwareRequirements	Component dependency requirements for application. This includes runtime environments and shared libraries that are not included in the application distribution package, but required to run the application (examples: DirectX, Java or .NET runtime).
requiresSubscription					ActionAccessSpecification, MediaObject	Boolean, MediaSubscription				Indicates if use of the media require a subscription  (either paid or free). Allowed values are <code>true</code> or <code>false</code> (note that an earlier version had 'yes', 'no').
reservationFor					Reservation	Thing				The thing -- flight, event, restaurant, etc. being reserved.
reservationId					Reservation	Text				A unique identifier for the reservation.
reservationStatus					Reservation	ReservationStatusType				The current status of the reservation.
reservedTicket					Reservation	Ticket				A ticket associated with the reservation.
responsibilities					JobPosting, Occupation	Text				Responsibilities associated with this role or Occupation.
restPeriods					ExercisePlan	QuantitativeValue, Text				How often one should break from the activity.
restockingFee	pending:				MerchantReturnPolicy	MonetaryAmount, Number				"Use <a class=""localLink"" href=""/MonetaryAmount"">MonetaryAmount</a> to specify a fixed restocking fee for product returns, or use <a class=""localLink"" href=""/Number"">Number</a> to specify a percentage of the product price paid by the customer."
result				resultComment, resultReview	Action	Thing				The result produced in the action. E.g. John wrote <em>a book</em>.
resultComment		result			CommentAction, ReplyAction	Comment				A sub property of result. The Comment created or sent as a result of this action.
resultReview		result			ReviewAction	Review				A sub property of result. The review that resulted in the performing of the action.
returnFees	pending:				MerchantReturnPolicy	ReturnFeesEnumeration				The type of return fees for purchased products (for any return reason).
returnLabelSource	pending:				MerchantReturnPolicy	ReturnLabelSourceEnumeration				The method (from an enumeration) by which the customer obtains a return shipping label for a product returned for any reason.
returnMethod	pending:				MerchantReturnPolicy	ReturnMethodEnumeration				The type of return method offered, specified from an enumeration.
returnPolicyCategory	pending:				MerchantReturnPolicy, MerchantReturnPolicySeasonalOverride	MerchantReturnEnumeration				Specifies an applicable return policy (from an enumeration).
returnPolicyCountry	pending:				MerchantReturnPolicy	Country, Text				"The country where the product has to be sent to for returns, for example ""Ireland"" using the <a class=""localLink"" href=""/name"">name</a> property of <a class=""localLink"" href=""/Country"">Country</a>. You can also provide the two-letter <a href=""http://en.wikipedia.org/wiki/ISO_3166-1"">ISO 3166-1 alpha-2 country code</a>. Note that this can be different from the country where the product was originally shipped from or sent to."
returnPolicySeasonalOverride	pending:				MerchantReturnPolicy	MerchantReturnPolicySeasonalOverride				Seasonal override of a return policy.
returnShippingFeesAmount	pending:				MerchantReturnPolicy	MonetaryAmount				"Amount of shipping costs for product returns (for any reason). Applicable when property <a class=""localLink"" href=""/returnFees"">returnFees</a> equals <a class=""localLink"" href=""/ReturnShippingFees"">ReturnShippingFees</a>."
review					Brand, CreativeWork, Event, Offer, Organization, Place, Product, Service	Review		reviews		A review of the item.
reviewAspect					Guide, Rating, Review	Text				This Review or Rating is relevant to this part or facet of the itemReviewed.
reviewBody					Review	Text				The actual body of the review.
reviewCount					AggregateRating	Integer				The count of total number of reviews.
reviewRating					Review	Rating				"The rating given in this review. Note that reviews can themselves be rated. The <code>reviewRating</code> applies to rating given by the review. The <a class=""localLink"" href=""/aggregateRating"">aggregateRating</a> property applies to the review itself, as a creative work."
reviewedBy					WebPage	Organization, Person				People or organizations that have reviewed the content on this web page for accuracy and/or completeness.
reviews					CreativeWork, Offer, Organization, Place, Product	Review			review	Review of the item.
riskFactor					MedicalCondition	MedicalRiskFactor				A modifiable or non-modifiable factor that increases the risk of a patient contracting this condition, e.g. age,  coexisting condition.
risks					Diet	Text				Specific physiologic risks associated to the diet plan.
roleName					Role	Text, URL		namedPosition		"A role played, performed or filled by a person or organization. For example, the team of creators for a comic book might fill the roles named 'inker', 'penciller', and 'letterer'; or an athlete in a SportsTeam might play in the position named 'Quarterback'."
roofLoad	https://auto.schema.org				BusOrCoach, Car	QuantitativeValue				"The permitted total weight of cargo and installations (e.g. a roof rack) on top of the vehicle.<br/><br/>

Typical unit code(s): KGM for kilogram, LBR for pound<br/><br/>

<ul>
<li>Note 1: You can indicate additional information in the <a class=""localLink"" href=""/name"">name</a> of the <a class=""localLink"" href=""/QuantitativeValue"">QuantitativeValue</a> node.</li>
<li>Note 2: You may also link to a <a class=""localLink"" href=""/QualitativeValue"">QualitativeValue</a> node that provides additional information using <a class=""localLink"" href=""/valueReference"">valueReference</a></li>
<li>Note 3: Note that you can use <a class=""localLink"" href=""/minValue"">minValue</a> and <a class=""localLink"" href=""/maxValue"">maxValue</a> to indicate ranges.</li>
</ul>"
rsvpResponse					RsvpAction	RsvpResponseType				The response (yes, no, maybe) to the RSVP.
runsTo					LymphaticVessel	Vessel				The vasculature the lymphatic structure runs, or efferents, to.
runtime					SoftwareSourceCode	Text			runtimePlatform	Runtime platform or script interpreter dependencies (example: Java v1, Python 2.3, .NET Framework 3.0).
runtimePlatform					SoftwareSourceCode	Text		runtime		Runtime platform or script interpreter dependencies (example: Java v1, Python 2.3, .NET Framework 3.0).
rxcui	pending:				Drug	Text				The RxCUI drug identifier from RXNORM.
safetyConsideration					DietarySupplement	Text				Any potential safety concern associated with the supplement. May include interactions with other drugs and foods, pregnancy, breastfeeding, known adverse reactions, and documented efficacy of the supplement.
salaryCurrency					EmployeeRole, JobPosting	Text				"The currency (coded using <a href=""http://en.wikipedia.org/wiki/ISO_4217"">ISO 4217</a>) used for the main salary information in this job posting or for this employee."
salaryUponCompletion	pending:				EducationalOccupationalProgram	MonetaryAmountDistribution				The expected salary upon completing the training.
sameAs					Thing	URL				URL of a reference Web page that unambiguously indicates the item's identity. E.g. the URL of the item's Wikipedia page, Wikidata entry, or official website.
sampleType					SoftwareSourceCode	Text			codeSampleType	What type of code sample: full (compile ready) solution, code snippet, inline code, scripts, template.
saturatedFatContent					NutritionInformation	Mass				The number of grams of saturated fat.
scheduleTimezone	pending:				Schedule	Text				"Indicates the timezone for which the time(s) indicated in the <a class=""localLink"" href=""/Schedule"">Schedule</a> are given. The value provided should be among those listed in the IANA Time Zone Database."
scheduledPaymentDate					Invoice	Date				The date the invoice is scheduled to be paid.
scheduledTime					PlanAction	DateTime				The time the object is scheduled to.
schemaVersion					CreativeWork	Text, URL				"Indicates (by URL or string) a particular version of a schema used in some CreativeWork. This property was created primarily to
    indicate the use of a specific schema.org release, e.g. <code>10.0</code> as a simple string, or more explicitly via URL, <code>docs/releases.html#v10.0</code>. There may be situations in which other schemas might usefully be referenced this way, e.g. <code>http://dublincore.org/specifications/dublin-core/dces/1999-07-02/</code> but this has not been carefully explored in the community."
schoolClosuresInfo	pending:				SpecialAnnouncement	URL, WebContent				Information about school closures.
screenCount					MovieTheater	Number				The number of screens in the movie theater.
screenshot					SoftwareApplication	ImageObject, URL				A link to a screenshot image of the app.
sdDatePublished	pending:				CreativeWork	Date				"Indicates the date on which the current structured data was generated / published. Typically used alongside <a class=""localLink"" href=""/sdPublisher"">sdPublisher</a>"
sdLicense	pending:				CreativeWork	CreativeWork, URL				A license document that applies to this structured data, typically indicated by URL.
sdPublisher	pending:				CreativeWork	Organization, Person				"Indicates the party responsible for generating and publishing the current structured data markup, typically in cases where the structured data is derived automatically from existing published content but published on a different site. For example, student projects and open data initiatives often re-publish existing content with more explicitly structured metadata. The
<a class=""localLink"" href=""/sdPublisher"">sdPublisher</a> property helps make such practices more explicit."
season		hasPart			RadioSeries, TVSeries, VideoGameSeries	CreativeWorkSeason, URL		seasons	containsSeason	A season in a media series.
seasonNumber		position			CreativeWorkSeason	Integer, Text				Position of the season within an ordered group of seasons.
seasons					RadioSeries, TVSeries, VideoGameSeries	CreativeWorkSeason			season	A season in a media series.
seatNumber					Seat	Text				The location of the reserved seat (e.g., 27).
seatRow					Seat	Text				The row location of the reserved seat (e.g., B).
seatSection					Seat	Text				The section location of the reserved seat (e.g. Orchestra).
seatingCapacity	https://auto.schema.org				Vehicle	Number, QuantitativeValue				"The number of persons that can be seated (e.g. in a vehicle), both in terms of the physical space available, and in terms of limitations set by law.<br/><br/>

Typical unit code(s): C62 for persons"
seatingType					Seat	QualitativeValue, Text				The type/class of the seat.
secondaryPrevention					MedicalCondition	MedicalTherapy				A preventative therapy used to prevent reoccurrence of the medical condition after an initial episode of the condition.
securityClearanceRequirement	pending:				JobPosting	Text, URL				A description of any security clearance requirements of the job.
securityScreening					FlightReservation	Text				The type of security screening the passenger is subject to.
seeks					Organization, Person	Demand				A pointer to products or services sought by the organization or person (demand).
seller		participant			BuyAction, Demand, Flight, Offer, Order	Organization, Person		merchant, vendor		An entity which offers (sells / leases / lends / loans) the services / goods.  A seller may also be a provider.
sender		participant			Message, ReceiveAction	Audience, Organization, Person				A sub property of participant. The participant who is at the sending end of the action.
sensoryRequirement	pending:				JobPosting	DefinedTerm, Text, URL				A description of any sensory requirements and levels necessary to function on the job, including hearing and vision. Defined terms such as those in O*net may be used, but note that there is no way to specify the level of ability as well as its nature when using a defined term.
sensoryUnit					Nerve	AnatomicalStructure, SuperficialAnatomy				The neurological pathway extension that inputs and sends information to the brain or spinal cord.
serialNumber		identifier		vehicleIdentificationNumber	Demand, IndividualProduct, Offer	Text				The serial number or any alphanumeric identifier of a particular product. When attached to an offer, it is a shortcut for the serial number of the product included in the offer.
seriousAdverseOutcome					MedicalDevice, MedicalTherapy	MedicalEntity				"A possible serious complication and/or serious side effect of this therapy. Serious adverse outcomes include those that are life-threatening; result in death, disability, or permanent damage; require hospitalization or prolong existing hospitalization; cause congenital anomalies or birth defects; or jeopardize the patient and may require medical or surgical intervention to prevent one of the outcomes in this definition."
serverStatus					GameServer	GameServerStatus				Status of a game server.
servesCuisine					FoodEstablishment	Text				The cuisine of the restaurant.
serviceArea					ContactPoint, Organization, Service	AdministrativeArea, GeoShape, Place		area	areaServed	The geographic area where the service is provided.
serviceAudience					Service	Audience			audience	The audience eligible for this service.
serviceLocation					ServiceChannel	Place				The location (e.g. civic structure, local business, etc.) where a person can go to access the service.
serviceOperator					GovernmentService	Organization				The operating organization, if different from the provider.  This enables the representation of services that are provided by an organization, but operated by another organization like a subcontractor.
serviceOutput					Service	Thing		produces		The tangible thing generated by the service, e.g. a passport, permit, etc.
servicePhone					ServiceChannel	ContactPoint				The phone number to use to access the service.
servicePostalAddress					ServiceChannel	PostalAddress				The address for accessing the service by mail.
serviceSmsNumber					ServiceChannel	ContactPoint				The number to access the service by text message.
serviceType					Service	GovernmentBenefitsType, Text				The type of service being offered, e.g. veterans' benefits, emergency relief, etc.
serviceUrl					ServiceChannel	URL				The website to access the service.
servingSize					NutritionInformation	Text				The serving size, in terms of the number of volume or mass.
sha256	pending:	description			MediaObject	Text				"The <a href=""https://en.wikipedia.org/wiki/SHA-2"">SHA-2</a> SHA256 hash of the content of the item. For example, a zero-length input has value 'e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855'"
sharedContent					SocialMediaPosting	CreativeWork				A CreativeWork such as an image, video, or audio clip shared as part of this posting.
shippingDestination	pending:				DeliveryTimeSettings, OfferShippingDetails, ShippingRateSettings	DefinedRegion				indicates (possibly multiple) shipping destinations. These can be defined in several ways, e.g. postalCode ranges.
shippingDetails	pending:				Offer	OfferShippingDetails				"Indicates information about the shipping policies and options associated with an <a class=""localLink"" href=""/Offer"">Offer</a>."
shippingLabel	pending:				OfferShippingDetails, ShippingRateSettings	Text				"Label to match an <a class=""localLink"" href=""/OfferShippingDetails"">OfferShippingDetails</a> with a <a class=""localLink"" href=""/ShippingRateSettings"">ShippingRateSettings</a> (within the context of a <a class=""localLink"" href=""/shippingSettingsLink"">shippingSettingsLink</a> cross-reference)."
shippingOrigin	pending:				OfferShippingDetails	DefinedRegion				Indicates the origin of a shipment, i.e. where it should be coming from.
shippingRate	pending:				OfferShippingDetails, ShippingRateSettings	MonetaryAmount				"The shipping rate is the cost of shipping to the specified destination. Typically, the maxValue and currency values (of the <a class=""localLink"" href=""/MonetaryAmount"">MonetaryAmount</a>) are most appropriate."
shippingSettingsLink	pending:				OfferShippingDetails	URL				"Link to a page containing <a class=""localLink"" href=""/ShippingRateSettings"">ShippingRateSettings</a> and <a class=""localLink"" href=""/DeliveryTimeSettings"">DeliveryTimeSettings</a> details."
sibling					Person	Person		siblings		A sibling of the person.
siblings					Person	Person			sibling	A sibling of the person.
signDetected					MedicalTest	MedicalSign				A sign detected by the test.
signOrSymptom					MedicalCondition	MedicalSignOrSymptom				A sign or symptom of this condition. Signs are objective or physically observable manifestations of the medical condition while symptoms are the subjective experience of the medical condition.
significance					SuperficialAnatomy	Text				"The significance associated with the superficial anatomy; as an example, how characteristics of the superficial anatomy can suggest underlying medical conditions or courses of treatment."
significantLink					WebPage	URL		significantLinks		One of the more significant URLs on the page. Typically, these are the non-navigation links that are clicked on the most.
significantLinks					WebPage	URL			significantLink	The most significant URLs on the page. Typically, these are the non-navigation links that are clicked on the most.
size	pending:				CreativeWork, Product	DefinedTerm, QuantitativeValue, SizeSpecification, Text				"A standardized size of a product or creative work, specified either through a simple textual string (for example 'XL', '32Wx34L'), a  QuantitativeValue with a unitCode, or a comprehensive and structured <a class=""localLink"" href=""/SizeSpecification"">SizeSpecification</a>; in other cases, the <a class=""localLink"" href=""/width"">width</a>, <a class=""localLink"" href=""/height"">height</a>, <a class=""localLink"" href=""/depth"">depth</a> and <a class=""localLink"" href=""/weight"">weight</a> properties may be more applicable."
sizeGroup	pending:				SizeSpecification	SizeGroupEnumeration, Text				"The size group (also known as ""size type"") for a product's size. Size groups are common in the fashion industry to define size segments and suggested audiences for wearable products. Multiple values can be combined, for example ""men's big and tall"", ""petite maternity"" or ""regular"""
sizeSystem	pending:				SizeSpecification	SizeSystemEnumeration, Text				"The size system used to identify a product's size. Typically either a standard (for example, ""GS1"" or ""ISO-EN13402""), country code (for example ""US"" or ""JP""), or a measuring system (for example ""Metric"" or ""Imperial"")."
skills					JobPosting, Occupation	DefinedTerm, Text				A statement of knowledge, skill, ability, task or any other assertion expressing a competency that is desired or required to fulfill this role or to work in this occupation.
sku		identifier			Demand, Offer, Product	Text				The Stock Keeping Unit (SKU), i.e. a merchant-specific identifier for a product or service, or the product to which the offer refers.
slogan					Brand, Organization, Place, Product, Service	Text				A slogan or motto associated with the item.
smiles	pending:	hasRepresentation			MolecularEntity	Text				A specification in form of a line notation for describing the structure of chemical species using short ASCII strings.  Double bond stereochemistry \ indicators may need to be escaped in the string in formats where the backslash is an escape character.
smokingAllowed					Place	Boolean				Indicates whether it is allowed to smoke in the place, e.g. in the restaurant, hotel or hotel room.
sodiumContent					NutritionInformation	Mass				The number of milligrams of sodium.
softwareAddOn					SoftwareApplication	SoftwareApplication				Additional content for a software application.
softwareHelp					SoftwareApplication	CreativeWork				Software application help.
softwareRequirements					SoftwareApplication	Text, URL		requirements		Component dependency requirements for application. This includes runtime environments and shared libraries that are not included in the application distribution package, but required to run the application (examples: DirectX, Java or .NET runtime).
softwareVersion					SoftwareApplication	Text				Version of the software instance.
sourceOrganization					CreativeWork	Organization				The Organization on whose behalf the creator was working.
sourcedFrom					Nerve	BrainStructure				The neurological pathway that originates the neurons.
spatial			dc:spatial		CreativeWork	Place				"The ""spatial"" property can be used in cases when more specific properties
(e.g. <a class=""localLink"" href=""/locationCreated"">locationCreated</a>, <a class=""localLink"" href=""/spatialCoverage"">spatialCoverage</a>, <a class=""localLink"" href=""/contentLocation"">contentLocation</a>) are not known to be appropriate."
spatialCoverage		contentLocation	dc:spatial	announcementLocation, legislationJurisdiction	CreativeWork	Place				"The spatialCoverage of a CreativeWork indicates the place(s) which are the focus of the content. It is a subproperty of
      contentLocation intended primarily for more technical and detailed materials. For example with a Dataset, it indicates
      areas that the dataset describes: a dataset of New York weather would have spatialCoverage which was the place: the state of New York."
speakable					Article, WebPage	SpeakableSpecification, URL				"Indicates sections of a Web page that are particularly 'speakable' in the sense of being highlighted as being especially appropriate for text-to-speech conversion. Other sections of a page may also be usefully spoken in particular circumstances; the 'speakable' property serves to indicate the parts most likely to be generally useful for speech.<br/><br/>

The <em>speakable</em> property can be repeated an arbitrary number of times, with three kinds of possible 'content-locator' values:<br/><br/>

1.) <em>id-value</em> URL references - uses <em>id-value</em> of an element in the page being annotated. The simplest use of <em>speakable</em> has (potentially relative) URL values, referencing identified sections of the document concerned.<br/><br/>

2.) CSS Selectors - addresses content in the annotated page, e.g. via class attribute. Use the <a class=""localLink"" href=""/cssSelector"">cssSelector</a> property.<br/><br/>

3.)  XPaths - addresses content via XPaths (assuming an XML view of the content). Use the <a class=""localLink"" href=""/xpath"">xpath</a> property.<br/><br/>

For more sophisticated markup of speakable sections beyond simple ID references, either CSS selectors or XPath expressions to pick out document section(s) as speakable. For this
we define a supporting type, <a class=""localLink"" href=""/SpeakableSpecification"">SpeakableSpecification</a>  which is defined to be a possible value of the <em>speakable</em> property."
specialCommitments					JobPosting	Text				Any special commitments associated with this job posting. Valid entries include VeteranCommit, MilitarySpouseCommit, etc.
specialOpeningHoursSpecification					Place	OpeningHoursSpecification				"The special opening hours of a certain place.<br/><br/>

Use this to explicitly override general opening hours brought in scope by <a class=""localLink"" href=""/openingHoursSpecification"">openingHoursSpecification</a> or <a class=""localLink"" href=""/openingHours"">openingHours</a>."
specialty					WebPage	Specialty				One of the domain specialities to which this web page's content applies.
speechToTextMarkup	pending:				PronounceableText	Text				"Form of markup used. eg. <a href=""https://www.w3.org/TR/speech-synthesis11"">SSML</a> or <a href=""https://www.wikidata.org/wiki/Property:P898"">IPA</a>."
speed	https://auto.schema.org				Vehicle	QuantitativeValue				"The speed range of the vehicle. If the vehicle is powered by an engine, the upper limit of the speed range (indicated by <a class=""localLink"" href=""/maxValue"">maxValue</a>) should be the maximum speed achievable under regular conditions.<br/><br/>

Typical unit code(s): KMH for km/h, HM for mile per hour (0.447 04 m/s), KNT for knot<br/><br/>

*Note 1: Use <a class=""localLink"" href=""/minValue"">minValue</a> and <a class=""localLink"" href=""/maxValue"">maxValue</a> to indicate the range. Typically, the minimal value is zero.
* Note 2: There are many different ways of measuring the speed range. You can link to information about how the given value has been determined using the <a class=""localLink"" href=""/valueReference"">valueReference</a> property."
spokenByCharacter	pending:				Quotation	Organization, Person				The (e.g. fictional) character, Person or Organization to whom the quotation is attributed within the containing CreativeWork.
sponsor				funder	CreativeWork, Event, Grant, MedicalStudy, Organization, Person	Organization, Person				A person or organization that supports a thing through a pledge, promise, or financial contribution. E.g. a sponsor of a Medical Study or a corporate sponsor of an event.
sport	pending:				SportsEvent, SportsOrganization	Text, URL				A type of sport (e.g. Baseball).
sportsActivityLocation		location			ExerciseAction	SportsActivityLocation				A sub property of location. The sports activity location where this action occurred.
sportsEvent		location			ExerciseAction	SportsEvent				A sub property of location. The sports event where this action occurred.
sportsTeam		participant			ExerciseAction	SportsTeam				A sub property of participant. The sports team that participated on this action.
spouse					Person	Person				The person's spouse.
stage					MedicalCondition	MedicalConditionStage				The stage of the condition, if applicable.
stageAsNumber					MedicalConditionStage	Number				The stage represented as a number, e.g. 3.
starRating					FoodEstablishment, LodgingBusiness	Rating				An official rating for a lodging business or food establishment, e.g. from national associations or standards bodies. Use the author property to indicate the rating organization, e.g. as an Organization with name such as (e.g. HOTREC, DEHOGA, WHR, or Hotelstars).
startDate					CreativeWorkSeason, CreativeWorkSeries, DatedMoneySpecification, EducationalOccupationalProgram, Event, MerchantReturnPolicySeasonalOverride, Role, Schedule	Date, DateTime				"The start date and time of the item (in <a href=""http://en.wikipedia.org/wiki/ISO_8601"">ISO 8601 date format</a>)."
startOffset	pending:				Clip, SeekToAction	HyperTocEntry, Number				The start time of the clip expressed as the number of seconds from the beginning of the work.
startTime					Action, FoodEstablishmentReservation, InteractionCounter, MediaObject, Schedule	DateTime, Time				"The startTime of something. For a reserved event or service (e.g. FoodEstablishmentReservation), the time that it is expected to start. For actions that span a period of time, when the action was performed. E.g. John wrote a book from <em>January</em> to December. For media, including audio and video, it's the time offset of the start of a clip within a larger file.<br/><br/>

Note that Event uses startDate/endDate instead of startTime/endTime, even when describing dates with times. This situation may be clarified in future revisions."
status					MedicalCondition, MedicalProcedure, MedicalStudy	EventStatusType, MedicalStudyStatus, Text				The status of the study (enumerated).
steeringPosition					Vehicle	SteeringPositionValue				The position of the steering wheel or similar device (mostly for cars).
step				recipeInstructions	HowTo	CreativeWork, HowToSection, HowToStep, Text		steps		A single step item (as HowToStep, text, document, video, etc.) or a HowToSection.
stepValue					PropertyValueSpecification	Number				The stepValue attribute indicates the granularity that is expected (and required) of the value in a PropertyValueSpecification.
steps					HowTo, HowToSection	CreativeWork, ItemList, Text			step	"A single step item (as HowToStep, text, document, video, etc.) or a HowToSection (originally misnamed 'steps'; 'step' is preferred)."
storageRequirements					SoftwareApplication	Text, URL				Storage requirements (free space required).
streetAddress					PostalAddress	Text				The street address. For example, 1600 Amphitheatre Pkwy.
strengthUnit					DrugStrength	Text				The units of an active ingredient's strength, e.g. mg.
strengthValue					DrugStrength	Number				The value of an active ingredient's strength, e.g. 325.
structuralClass					Joint	Text				The name given to how bone physically connects to each other.
study					MedicalEntity	MedicalStudy				A medical study or trial related to this entity.
studyDesign					MedicalObservationalStudy	MedicalObservationalStudyDesign				Specifics about the observational study design (enumerated).
studyLocation					MedicalStudy	AdministrativeArea				The location in which the study is taking/took place.
studySubject					MedicalStudy	MedicalEntity				A subject of the study, i.e. one of the medical conditions, therapies, devices, drugs, etc. investigated by the study.
subEvent					Event	Event	superEvent	subEvents		An Event that is part of this event. For example, a conference event includes many presentations, each of which is a subEvent of the conference.
subEvents					Event	Event			subEvent	Events that are a part of this event. For example, a conference event includes many presentations, each subEvents of the conference.
subOrganization					Organization	Organization	parentOrganization			A relationship between two organizations where the first includes the second, e.g., as a subsidiary. See also: the more specific 'department' property.
subReservation					ReservationPackage	Reservation				The individual reservations included in the package. Typically a repeated property.
subStageSuffix					MedicalConditionStage	Text				The substage, e.g. 'a' for Stage IIIa.
subStructure					AnatomicalStructure	AnatomicalStructure				Component (sub-)structure(s) that comprise this anatomical structure.
subTest					MedicalTestPanel	MedicalTest				A component test of the panel.
subTrip	pending:				Trip	Trip	partOfTrip			"Identifies a <a class=""localLink"" href=""/Trip"">Trip</a> that is a subTrip of this Trip.  For example Day 1, Day 2, etc. of a multi-day trip."
subjectOf					Thing	CreativeWork, Event	about			A CreativeWork or Event about this Thing.
subtitleLanguage	pending:				BroadcastEvent, Movie, ScreeningEvent, TVEpisode	Language, Text				"Languages in which subtitles/captions are available, in <a href=""http://tools.ietf.org/html/bcp47"">IETF BCP 47 standard format</a>."
successorOf					ProductModel	ProductModel				A pointer from a newer variant of a product  to its previous, often discontinued predecessor.
sugarContent					NutritionInformation	Mass				The number of grams of sugar.
suggestedAge	pending:				PeopleAudience, SizeSpecification	QuantitativeValue				The age or age range for the intended audience or person, for example 3-12 months for infants, 1-5 years for toddlers.
suggestedAnswer				acceptedAnswer	Question	Answer, ItemList				An answer (possibly one of several, possibly incorrect) to a Question, e.g. on a Question/Answer site.
suggestedGender					PeopleAudience, SizeSpecification	GenderType, Text				"The suggested gender of the intended person or audience, for example ""male"", ""female"", or ""unisex""."
suggestedMaxAge					PeopleAudience	Number				Maximum recommended age in years for the audience or user.
suggestedMeasurement	pending:				PeopleAudience, SizeSpecification	QuantitativeValue				A suggested range of body measurements for the intended audience or person, for example inseam between 32 and 34 inches or height between 170 and 190 cm. Typically found on a size chart for wearable products.
suggestedMinAge					PeopleAudience	Number				Minimum recommended age in years for the audience or user.
suitableForDiet					MenuItem, Recipe	RestrictedDiet				Indicates a dietary restriction or guideline for which this recipe or menu item is suitable, e.g. diabetic, halal etc.
superEvent					Event	Event	subEvent			An event that this event is a part of. For example, a collection of individual music performances might each have a music festival as their superEvent.
supersededBy	https://meta.schema.org				Class, Enumeration, Property	Class, Enumeration, Property				Relates a term (i.e. a property, class or enumeration) to one that supersedes it.
supply		instrument		ingredients, recipeIngredient	HowTo, HowToDirection	HowToSupply, Text				A sub-property of instrument. A supply consumed when performing instructions or a direction.
supplyTo					Artery	AnatomicalStructure				The area to which the artery supplies blood.
supportingData					SoftwareApplication	DataFeed				Supporting data for a SoftwareApplication.
surface		material			VisualArtwork	Text, URL			artworkSurface	A material used as a surface in some artwork, e.g. Canvas, Paper, Wood, Board, etc.
target					Action	EntryPoint, URL				Indicates a target EntryPoint, or url, for an Action.
targetCollection		object			UpdateAction	Thing		collection		A sub property of object. The collection target of the action.
targetDescription					AlignmentObject	Text				The description of a node in an established educational framework.
targetName					AlignmentObject	Text				The name of a node in an established educational framework.
targetPlatform					APIReference	Text				Type of app development: phone, Metro style, desktop, XBox, etc.
targetPopulation					DietarySupplement, DoseSchedule	Text				Characteristics of the population for which this is intended, or which typically uses it, e.g. 'adults'.
targetProduct					SoftwareSourceCode	SoftwareApplication				Target Operating System / Product to which the code applies.  If applies to several versions, just the product name can be used.
targetUrl					AlignmentObject	URL				The URL of a node in an established educational framework.
taxID		identifier			Organization, Person	Text				The Tax / Fiscal ID of the organization or person, e.g. the TIN in the US or the CIF/NIF in Spain.
taxonRank	pending:				Taxon	PropertyValue, Text, URL				The taxonomic rank of this taxon given preferably as a URI from a controlled vocabulary – typically the ranks from TDWG TaxonRank ontology or equivalent Wikidata URIs.
taxonomicRange	pending:				BioChemEntity	DefinedTerm, Taxon, Text, URL				The taxonomic grouping of the organism that expresses, encodes, or in some way related to the BioChemEntity.
teaches	pending:				CreativeWork, EducationEvent, LearningResource	DefinedTerm, Text				The item being described is intended to help a person learn the competency or learning outcome defined by the referenced term.
telephone					ContactPoint, Organization, Person, Place	Text				The telephone number.
temporal					CreativeWork	DateTime, Text				"The ""temporal"" property can be used in cases where more specific properties
(e.g. <a class=""localLink"" href=""/temporalCoverage"">temporalCoverage</a>, <a class=""localLink"" href=""/dateCreated"">dateCreated</a>, <a class=""localLink"" href=""/dateModified"">dateModified</a>, <a class=""localLink"" href=""/datePublished"">datePublished</a>) are not known to be appropriate."
